標題,評論內容,評論時間
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 哲的高流量，每次都把自己玩殘,123.241.38.17 08/07 19:49
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 阿北本人非常享受萬眾簇擁、高高在上的,36.235.227.230 08/07 19:51
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 感覺,很中肯
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 柯黨的小朝廷，外有新竹藩鎮，內無皇城重,36.235.106.3 08/07 19:52
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 兵，最終必然要新虹取代舊白,36.235.106.3 08/07 19:52
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 證明家庭教育的重要性,123.240.244.44 08/07 19:52
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 推,106.167.215.127 08/07 19:52
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 柯屁在滿足拿到權利之前沒女性仰慕,36.235.227.230 08/07 19:52
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 過往晦暗如現在白粉男,36.235.227.230 08/07 19:53
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 凶宅就是這樣KY才會變成凶宅,180.217.140.59 08/07 19:53
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 老來俏又是六千元髮型換眼鏡換衣服品味,36.235.227.230 08/07 19:54
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 可是還是像猴穿衣,36.235.227.230 08/07 19:54
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 但台灣就是會有一群不滿現狀的賭爛票,180.217.140.59 08/07 19:54
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 精闢,24.238.2.192 08/07 19:54
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 去年陳時中不就示範過一次幕僚出包是甚麼狀況,122.116.144.48 08/07 19:55
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 所以檳榔這種爛黨也不會死透,180.217.140.59 08/07 19:55
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 賭爛票就是有一定的市場 還有油水撈,180.217.140.59 08/07 19:55
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 粗估算10%好了 200萬票好處就也不少,180.217.140.59 08/07 19:56
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 深入分析，推推,1.34.115.215 08/07 19:56
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 補助款 不分區 有油水還是會有人在,180.217.140.59 08/07 19:57
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 有些事不是柯屁不要而是他沒能力達到,36.235.227.230 08/07 19:57
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 多鼓吹一點～明年投票就知道了,180.214.176.77 08/07 19:59
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 推分析,101.9.129.248 08/07 20:00
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 真的是這樣然後馬上就有幾隻死忠的,27.51.136.215 08/07 20:01
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 狗太監出來秀下限了,27.51.136.215 08/07 20:01
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 喔 好棒棒,118.169.108.180 08/07 20:02
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 內涵好文,111.71.115.33 08/07 20:02
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 政黑姨,1.175.230.53 08/07 20:02
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 好文,111.250.10.149 08/07 20:02
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 太中肯了，兵都走了只剩一群沒LP的,123.193.251.3 08/07 20:03
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 比較好笑的是每次搞完信徒開始幫師父出征洗,223.137.63.56 08/07 20:03
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 白,223.137.63.56 08/07 20:03
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 推長篇好文 現在柯粉一定有之前的韓粉,111.241.135.181 08/07 20:03
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 只是升級成白色成了另一種樣子而已,111.241.135.181 08/07 20:03
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 說真的韓粉至少還有錢，柯粉連錢都沒有,123.193.251.3 08/07 20:04
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 推阿貝給人感覺很享受眾星拱月,223.136.211.212 08/07 20:04
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 好文推,1.162.71.144 08/07 20:04
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 這事件其實真正突顯的是柯沒有人的困境 而,223.139.196.170 08/07 20:04
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 問題是在他個人,223.139.196.170 08/07 20:04
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 推推 可惜高學歷柯粉應該看不懂,223.141.196.55 08/07 20:05
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 不是每一點都同意 但90%認同,42.77.208.135 08/07 20:05
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 不過這麼長的文章柯粉看不完,42.77.208.135 08/07 20:05
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 他們已經被抖音制約了,42.77.208.135 08/07 20:05
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 拿姨學長篇大論鉅細靡遺地拷打TMD,111.248.124.42 08/07 20:05
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 看得雖然爽 不過畢竟有些大材小用了 ㄏ,111.248.124.42 08/07 20:05
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 先推再看,1.164.102.11 08/07 20:05
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 奇怪的是有這種長篇論述能力的都是柯 黑,123.204.12.228 08/07 20:06
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 柯粉論述都只有罵二句就沒了,123.204.12.228 08/07 20:07
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 就坐實大家對柯粉的觀察啊,123.205.228.182 08/07 20:07
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 柯粉(x 紅統白網軍合流(o,111.248.124.42 08/07 20:09
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 到覺得柯粉願意掏錢的 就不多 因為有的,111.241.135.181 08/07 20:09
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 真粉還會竹子糕找文獻跟人論戰 但網軍,111.248.124.42 08/07 20:09
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 不需要 搞超限戰就行,111.248.124.42 08/07 20:09
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 簡單來說2018寒流的搞法會重現 搭配,111.248.124.42 08/07 20:10
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 只是柯打綠才去寄生的,111.241.135.181 08/07 20:10
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 零星的義勇軍/中年覺醒白粉插花,111.248.124.42 08/07 20:10
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 姊妹會找個歌手來唱歌就好 弄這些有的沒,42.73.241.138 08/07 20:10
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 的,42.73.241.138 08/07 20:10
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 噴兩句就跑 大部分就領錢按表操課的,111.241.135.181 08/07 20:11
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 窪地是支語  在紅迪意思是中共耶,61.222.194.7 08/07 20:11
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 推精闢分析,111.71.82.232 08/07 20:12
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 支個大頭 那是尻劉仲敬東西過來用得的,111.248.124.42 08/07 20:12
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 起源哪是紅迪 喜勒工三小,111.248.124.42 08/07 20:12
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 劉仲敬 又變台灣人了喔XD 哪裡說起源?,61.222.194.7 08/07 20:13
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 哈哈哈哈  塔塔雞毛當令箭,61.222.194.7 08/07 20:13
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 推論述,220.134.237.166 08/07 20:13
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: ？？？可以說說窪地為什麼是支語嗎,123.205.228.182 08/07 20:14
Re: [討論] 客觀來說，柯的姐妹會又失焦了,": ""水往低處流是不變的真理"" 哇靠 非洲60秒",61.222.194.7 08/07 20:14
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 分析的不錯,36.233.215.159 08/07 20:15
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 嗯你說的都對,220.129.65.151 08/07 20:15
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 自己去查阿  塔塔醬 說一下ˇ高低是誰?,61.222.194.7 08/07 20:15
Re: [討論] 客觀來說，柯的姐妹會又失焦了,": ""人工作就是為了賺錢""  所以DPP幕僚=愛錢",61.222.194.7 08/07 20:16
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 難怪紅共 可以輕易滲透 塔綠斑,61.222.194.7 08/07 20:17
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 選舉有一部分人是跟風派的,49.216.175.98 08/07 20:17
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 不就一個普通地質名詞，還是我跟你受的,123.205.228.182 08/07 20:17
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 照文中邏輯 DPP以前不如KMT有錢=不可能執政,61.222.194.7 08/07 20:17
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 教育不一樣啊,123.205.228.182 08/07 20:17
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 所以選舉才需要造勢,49.216.175.98 08/07 20:17
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 反正就時空背景不同啦   哈哈 你們爽就好,61.222.194.7 08/07 20:18
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 灑灑錢 就被收買了,61.222.194.7 08/07 20:18
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 拿來比喻中共這種道德窪地就變支語啦,123.205.228.182 08/07 20:18
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 字太多，滾,223.139.239.176 08/07 20:18
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 你柯學系？,59.115.172.162 08/07 20:18
Re: [討論] 客觀來說，柯的姐妹會又失焦了,:,https://i.imgur.com/JUNTS8S.jpg
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 看完本文覺得很搭配這張圖，,59.115.172.162 08/07 20:19
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 這篇柯糞又會來秀下線,61.227.13.196 08/07 20:19
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 繼承黃瀞瑩工作的男人,59.115.172.162 08/07 20:20
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: XDDDD,150.116.130.119 08/07 20:21
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 好文，有點吳崑玉的風格,36.239.24.4 08/07 20:21
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 完全不懂選舉啊，就是不會念還去打天空,27.53.240.187 08/07 20:23
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 之塔200層的意思,27.53.240.187 08/07 20:23
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 你是不是想發paperXDDD,114.137.75.128 08/07 20:24
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 太長且邏輯不通 希望再加油一點,101.12.26.204 08/07 20:24
Re: [討論] 客觀來說，柯的姐妹會又失焦了,": ""就是低窪的窪地"" 沒看過台灣人用過",61.222.194.7 08/07 20:26
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 好多語句像脫褲子放屁 數發部預算有給26?,61.222.194.7 08/07 20:27
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 編輯三X 笑死人,61.222.194.7 08/07 20:27
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 韓粉還可以衝到花蓮的造勢場合咧 柯粉連台,223.139.229.159 08/07 20:28
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 北大本營人都慘成那樣,223.139.229.159 08/07 20:28
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 推,101.12.52.58 08/07 20:31
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 真是認真…,36.238.155.198 08/07 20:32
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 推 你說服我了 他們是聽不進去了 咱們就偷,123.192.169.20 08/07 20:32
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 著樂吧,123.192.169.20 08/07 20:32
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 陳時鐘也是被年輕幕僚玩死的,114.137.118.76 08/07 20:32
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 推,203.204.165.110 08/07 20:34
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 起牛柯布林崩潰無腦噓,223.138.27.134 08/07 20:36
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 你讀柯學系？超深入,1.169.166.71 08/07 20:37
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 推,115.43.61.29 08/07 20:37
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 柯粉看不懂只能噓文 真的可憐,115.43.61.29 08/07 20:38
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 柯粉也就那水準了，慘不忍睹,123.205.228.182 08/07 20:38
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 柯糞氣到語無倫次了，只有國小低年級的,223.139.214.95 08/07 20:38
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 語言能力,223.139.214.95 08/07 20:38
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 佩服 給推,101.8.23.23 08/07 20:40
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 柯就是在學毛澤東，享受身邊被年輕男女,218.173.3.195 08/07 20:40
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 紅衛兵簇擁、鬥倒鬥死敵人的快感，差別,218.173.3.195 08/07 20:40
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 在柯通常只能吸引到男性柯粉，所以更要,218.173.3.195 08/07 20:40
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 靠女性來讓這群男柯粉意淫以維持凝聚力,218.173.3.195 08/07 20:40
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 政黑喊4%喊到第二名，吹小綠時力吹到剩1%,175.181.111.232 08/07 20:41
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: ，政黑要說政治判斷力真的笑死人,175.181.111.232 08/07 20:41
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 高學歷柯粉：騙人 你看木炭民調 都是阿北,223.141.196.55 08/07 20:42
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 碾壓 明天總統一定是阿北,223.141.196.55 08/07 20:42
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 更正明年,223.141.196.55 08/07 20:42
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 我原本對這篇是不相信的，但突然想,118.163.8.59 08/07 20:42
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 到柯粉們還在姐妹會給柯辦了暖壽，,118.163.8.59 08/07 20:42
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 就不得不信了,118.163.8.59 08/07 20:42
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 這邊說明了，綠腦就是這樣想的,36.226.0.168 08/07 20:43
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 文長，但立論與排版得宜，讓我有耐心看,223.141.101.34 08/07 20:44
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 完了！給個讚！,223.141.101.34 08/07 20:44
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: TPP存在的意義就只是KP競選總統工具,1.162.136.189 08/07 20:45
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 精闢入裡,118.231.160.37 08/07 20:46
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 這篇好狠XDDD,36.230.183.3 08/07 20:47
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 號稱高學歷柯粉 面對這篇只能崩潰噓,114.36.253.91 08/07 20:50
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 哈哈哈哈哈哈,114.36.253.91 08/07 20:50
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 推推,49.216.222.176 08/07 20:50
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 好了啦重點是什麼？,180.217.57.158 08/07 20:52
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 幫信徒統整重點 就是明年520看阿北就職,223.141.196.55 08/07 20:55
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 這篇重點就是:皇上 太監 與狗的故事,111.241.135.181 08/07 20:57
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 夠簡單惹吧 而且是狗(腦粉)+狗(空軍),111.241.135.181 08/07 20:58
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 精闢,106.1.232.53 08/07 20:59
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 無法簡潔說出要點 一堆贅字與情緒化用語,73.227.63.7 08/07 21:00
Re: [討論] 客觀來說，柯的姐妹會又失焦了,:  你已經失敗了,73.227.63.7 08/07 21:00
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 句句中肯,218.164.153.18 08/07 21:00
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: CF是信仰；信徒哪會理外界看法,172.89.36.204 08/07 21:05
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 好多廟會信眾看不下去想洗地了,60.250.32.97 08/07 21:05
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 還有信眾搞不清楚問題不是年輕，是爛,60.250.32.97 08/07 21:06
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 柯粉說看不到重點，到底是柯粉閱讀能力有問,101.136.4.235 08/07 21:10
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 題，還是這篇文章寫得不好呢？,101.136.4.235 08/07 21:10
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 講一堆廢話，反正2024下架民進黨，支,114.136.74.120 08/07 21:11
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 持柯阿北民眾黨,114.136.74.120 08/07 21:11
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 台灣的選擇 柯文哲,114.136.74.120 08/07 21:12
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 台灣的選擇 柯文哲,114.136.74.120 08/07 21:12
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 台灣的選擇 柯文哲,114.136.74.120 08/07 21:12
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 聽你鬼扯 不知道阿北越打用高嗎？確定要,111.71.31.200 08/07 21:13
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 打這個？,111.71.31.200 08/07 21:13
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 嘻嘻 塔綠班,1.200.35.44 08/07 21:15
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 誰說待在網路上捅不倒人？即使贏不了也,1.200.163.143 08/07 21:22
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 可以集結反綠勢力跟裂解中間選票，綠營,1.200.163.143 08/07 21:23
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 繼續笑馬上重演1124 1126,1.200.163.143 08/07 21:23
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 嗯，有幾支受不了出來噓，快拿出空戰,123.204.4.162 08/07 21:25
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 實力碾壓藍綠！,123.204.4.162 08/07 21:25
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 跟為什麼你每次都可以寫這麼長,112.78.69.220 08/07 21:27
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 真的分析的很正確,42.75.207.22 08/07 21:28
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 推,218.172.52.236 08/07 21:31
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 馬上就有噓文來印證你的話了,118.161.202.112 08/07 21:33
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 在綠粉的同溫層裡看到的世界，果然跟正常世,219.70.136.203 08/07 21:35
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 界有落差,219.70.136.203 08/07 21:35
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 認真文 推個,223.137.12.223 08/07 21:35
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 人的德行會匹配他的下場，民眾黨就,27.53.160.100 08/07 21:36
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 是政治人才的窪地,27.53.160.100 08/07 21:36
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 柯粉看抖音看多了 看不了那麼多字,118.160.199.151 08/07 21:38
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 哥布林的論述很有趣XDDD,27.247.39.206 08/07 21:38
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 神文,61.224.34.163 08/07 21:40
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 阿北造神式的吹噓自己期待創造一批有如,42.76.152.223 08/07 21:54
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 當年紅衛兵式的年輕人以鬥倒別人為目標,42.76.152.223 08/07 21:54
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: ，真要問一句若是人被你鬥倒了，然後呢,42.76.152.223 08/07 21:54
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: ？就是因為沒有然後不知道然後所以潮水,42.76.152.223 08/07 21:54
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 才那麼快退去，被看穿了嘛,42.76.152.223 08/07 21:54
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 好文要推,114.43.109.240 08/07 21:57
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 優質好文。,1.164.100.82 08/07 21:57
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 太認真了 推,115.165.194.86 08/07 21:58
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 差不多中肯，該說的你都說完了,111.255.242.224 08/07 22:02
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 跟我想的一樣 就是他們把那場表演當,118.233.66.163 08/07 22:03
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 酬神戲了,118.233.66.163 08/07 22:03
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 從VWVR在那硬要辯就知道信徒沒救了,49.216.89.15 08/07 22:03
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 太認真了吧,61.227.164.202 08/07 22:04
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 認真好文，給推,182.233.16.34 08/07 22:05
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 光文組幕僚那段就一口氣戳爆要害，他之前,111.255.242.224 08/07 22:06
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 回答產業問題扯升級失敗，學不致用，這在,111.255.242.224 08/07 22:06
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 蔡英文當總統之前就知道了，八年後蔡英文,111.255.242.224 08/07 22:06
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 沒有直面這個問題，你要來接鍋的時候，講,111.255.242.224 08/07 22:06
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 的還是類似的答案，但是這八年你自己跟幕,111.255.242.224 08/07 22:06
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 僚對這個答案沒有後續的意見嗎？,111.255.242.224 08/07 22:06
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 你為了柯粉寫了篇社論逆,36.229.82.72 08/07 22:07
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 結果政黑籠子裡都關哥布林 =w=,118.150.104.185 08/07 22:09
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 好文 推,222.166.97.27 08/07 22:10
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 老實說，這個活動就是辦來自爽的，本,223.137.30.60 08/07 22:11
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 來就沒有要爭取更多人的支持，而是告,223.137.30.60 08/07 22:11
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 訴原本的支持者「阿北很重視女性」這,223.137.30.60 08/07 22:11
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 個訊息，所以根本不用在乎外界的看法,223.137.30.60 08/07 22:11
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 阿,223.137.30.60 08/07 22:11
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 所以對於民眾黨幕僚或柯粉來說，他們,223.137.30.60 08/07 22:13
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 在那邊意淫空姐是關外人屁事喔,223.137.30.60 08/07 22:13
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 民進黨之前性騷擾、網軍、或是論文案還是,111.255.242.224 08/07 22:13
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 競選團隊的偷窺風格等，也是因為交給太多,111.255.242.224 08/07 22:13
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 沒有專業的年輕人來做，有的就大學社團之,111.255.242.224 08/07 22:13
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 後接黨工黨團，沒有社會經驗，也沒有培養,111.255.242.224 08/07 22:13
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 出好的工作、管理態度，進去民進黨之後就,111.255.242.224 08/07 22:14
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 用社團鬥人那套接著用接著搞，然後又擔任,111.255.242.224 08/07 22:14
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 幕僚，要提供決策的判準跟策略，結果就是,111.255.242.224 08/07 22:14
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 很慘,111.255.242.224 08/07 22:14
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 厲害厲害 能打那麼多廢話。真心佩服,1.200.21.188 08/07 22:14
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 精闢 差不多就是這意思,123.194.95.19 08/07 22:14
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 中肯,111.241.126.62 08/07 22:16
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 好猛,118.160.100.146 08/07 22:26
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 神明看的開心我笑了 哈哈哈哈哈,111.196.243.14 08/07 22:26
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 我只知道柯粉和韓粉一樣極端！但沒,118.170.133.185 08/07 22:27
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 有綠側翼那麼垃圾,118.170.133.185 08/07 22:27
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 認真中肯推一個,203.204.39.176 08/07 22:33
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 猴猴說廢話,39.15.9.45 08/07 22:38
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 啊哈哈哈 哇哈哈哈 嗚呼哈哈哈,111.251.234.173 08/07 22:41
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 推認真分析文,1.200.12.72 08/07 22:42
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 皇城內一片祥和 沒事沒事,123.193.50.96 08/07 22:46
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 講的好像賴會贏似的,36.234.4.30 08/07 22:50
Re: [討論] 客觀來說，柯的姐妹會又失焦了,: 確實，現在柯粉一直PO熱舞照片，根本搞,101.10.111.242 08/07 22:51
